,VADER_BTC,VADER_ETH,BERT_BTC,BERT_ETH,entropy_abs_strength_BTC,entropy_abs_strength_ETH,entropy_negative_BTC,entropy_negative_ETH,entropy_positive_BTC,entropy_positive_ETH,Dates,VADER_BTC_nonsmooth,BERT_BTC_nonsmooth,VADER_ETH_nonsmooth,BERT_ETH_nonsmooth,entropy_abs_strength_BTC_nonsmooth,entropy_negative_BTC_nonsmooth,entropy_positive_BTC_nonsmooth,entropy_abs_strength_ETH_nonsmooth,entropy_negative_ETH_nonsmooth,entropy_positive_ETH_nonsmooth
0,,,,,,,,,,,2017-08-11,0.5574,1.0,0.3818,4.0,2.7823945100339986,2.8903717578961645,2.8199004214165866,2.7920474405363453,2.936504439666981,2.9650156932565075
1,,,,,,,,,,,2017-08-12,0.5574,1.0,0.40932986301078184,3.6390957005680558,2.7823945100339986,2.8903717578961645,2.8199004214165866,2.7249639358386983,2.936504439666981,2.928195614704938
2,,,,,,,,,,,2017-08-13,0.5574,1.0,0.41545853359142626,3.306117208690354,2.7823945100339986,2.8903717578961645,2.8199004214165866,2.704233000838791,2.936504439666981,2.920398536393373
3,,,,,,,,,,,2017-08-14,0.5574,1.0,0.4019,3.0,2.7823945100339986,2.8903717578961645,2.8199004214165866,2.726088641405466,2.936504439666981,2.939224841869072
4,,,,,,,,,,,2017-08-15,0.0,1.0,0.37036825049457023,2.719679550130101,2.603865955582083,2.8903717578961645,0.0,2.7867648634075692,2.936504439666981,2.9822749146792975
5,,,,,,,,,,,2017-08-16,-0.48672721654173606,1.0212145062218796,0.32257727333320385,2.464091334713762,2.444970371980915,2.8226632076757023,-2.469133280094128,2.8824956727139446,2.936504439666981,3.0471491383713096
6,0.11950436256278844,0.36595356817199287,1.0118600996938618,3.0515935176409092,2.640473031409067,2.8037298042763217,2.862411114750082,2.936504439666981,0.6008497679918514,2.987672376538124,2017-08-17,-0.9063422455187448,1.0618061916351536,0.26024105677396825,2.23217082938409,2.304896852164477,2.762355806094051,-4.604520029629258,3.0095150751934376,2.936504439666981,3.131447896492371
7,-0.14046787784072035,0.3378497951826972,1.0289940610094812,2.7691440190372214,2.554821599842317,2.8568740380161146,2.8365199717023626,2.936504439666981,-0.7195904149774955,3.0259232164428718,2017-08-18,-1.2624056828245616,1.1199377292093353,0.18507358907493004,2.0228535097741895,2.18283448906675,2.709133756562129,-6.423180859368842,3.164057076714893,2.936504439666981,3.232771572589741
8,-0.4427361813196806,0.293486794537465,1.0566757455686155,2.5114267548870948,2.4541898663548483,2.945072859060179,2.8039927580730333,2.9365044396669804,-2.257024243762199,3.085998207229406,2017-08-19,-1.558478124352722,1.1937717919139401,0.09878885849415646,1.835074851517169,2.077972375621716,2.6626812624908567,-7.942136380076335,3.3423556831471553,2.936504439666981,3.3487205502106825
9,-0.7792390621763611,0.2345785544943633,1.09688589595697,2.277377200823635,2.3409191656018997,3.064560273277362,2.7657514394151748,2.936504439666981,-3.971068190038168,3.1654977324449898,2017-08-20,-1.7981201659967634,1.281471052718483,0.003100853289714118,1.6677703302461326,1.989499604763358,2.6226825272911527,-9.1784072025152,3.5406449003590676,2.936504439666981,3.476895212902455
